M,rc,f_min,R99,compactness_2M_over_R99,n_photon_spheres,r_photon_outer,r_photon_inner,echo_time,echo_time_err,echo_time_over_2M,tag,n_horizons,r_plus,kappa_plus,T_Hawking
0.04,0.22087275441156484,0.6896541995471481,0.7327339437517425,0.10918014742211095,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.05634486994140191,0.2475940916753993,0.6100201817107958,0.8213805986450209,0.1371955218673303,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.0726897398828038,0.26953377148055313,0.5378446815336837,0.8941643521283753,0.16258697790798918,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.08903460982420572,0.28838661755410605,0.4709316458404451,0.9567076942948716,0.18612709055262167,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.1053794797656076,0.3050522037427238,0.40801607721455835,1.0119949148733145,0.20826088790930222,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.12172434970700952,0.32007221184346984,0.34828529431057265,1.0618230152207901,0.22927427257111915,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.13806921964841143,0.333801107625059,0.29117810261532473,1.1073679171993103,0.24936467366258536,0,nan,nan,nan,nan,nan,horizonless,0,nan,nan,nan
0.1544140895898133,0.3464850163537218,0.23628645083824373,1.1494461286550444,0.26867564427833035,2,0.456104768314874,0.4216776511482729,2.037289124583464,1.1475379557384486e-13,6.596836888380242,horizonless,0,nan,nan,nan
0.17075895953121523,0.35830261954950193,0.18330189979140943,1.1886504162929938,0.28731569381644734,2,0.5119166848842335,0.41357540838809087,2.703413289518055,4.438223741428868e-13,7.915875386391844,horizonless,0,nan,nan,nan
0.18710382947261714,0.36938822058718185,0.13198413503515072,1.2254263246155837,0.3053693652799757,2,0.5613010875284956,0.4146543994341891,3.574060757661994,1.4399222699607028e-10,9.551009104773726,horizonless,0,nan,nan,nan
0.20344869941401902,0.3798456197496969,0.08214131007875891,1.2601182056950302,0.32290415057023153,2,0.6103459997798063,0.41778725258754124,4.965217544841183,7.515559278143532e-12,12.202627883938797,horizonless,0,nan,nan,nan
0.21979356935542094,0.3897568984056402,0.03361718144948789,1.2929983602280766,0.3399750163900452,2,0.6593807078244578,0.42172692012341145,8.230312265279611,2.108383906481646e-10,18.72282316861292,horizonless,0,nan,nan,nan
0.22442080239448242,0.39247306198467014,0.020101064335906416,1.302009092477238,0.3447300079410249,2,0.67326240714995,0.42291820322622886,10.688814730653247,6.366393973530504e-13,23.814224476090814,horizonless,0,nan,nan,nan
0.22904803543354393,0.3951521419323501,0.006677530631575945,1.3108968016966012,0.34945242850101277,2,0.6871441062965615,0.4241308469035178,18.30958141963327,2.1015040588745125e-10,39.96886806947885,horizonless,0,nan,nan,nan
0.2302048436933093,0.3958162644288604,0.0033358194845461986,1.3130999937439802,0.35062804781064244,2,0.6906145310775751,0.424436782996968,25.615073826136445,6.3477660049739394e-12,55.63539284225957,horizonless,0,nan,nan,nan
0.2311302903011216,0.39634596230331837,0.000666479212083515,1.3148572390573847,0.35156712597455503,2,0.6933908709018566,0.4246822387610089,56.14904657336942,2.4435043510392187e-11,121.46622257995094,horizonless,0,nan,nan,nan
0.23133851578787937,0.3964649493901133,6.63689833999559e-05,1.3152519725662553,0.35177824570983607,2,0.6940155473622746,0.42473754931162533,175.49944922237273,9.217231040914431e-10,379.31307855215294,horizonless,0,nan,nan,nan
0.23159301360502774,0.39661028112944596,-0.0006668546184345203,nan,nan,0,nan,nan,nan,nan,nan,1.001x,2,0.43076765050609434,0.11237631855890773,0.01788524658511966
0.23367526847260542,0.3977953786544618,-0.006655905455251299,nan,nan,0,nan,nan,nan,nan,nan,1.01x,2,0.4451481945093232,0.3381632011135619,0.053820345029002105
0.24292973455072842,0.4029789632447838,-0.03306186284012225,nan,nan,0,nan,nan,nan,nan,nan,1.05x,2,0.4764071318666688,0.6591046021765025,0.10489975545100756
