direction,label,eps_km2,rho_g_cm3,M_crit_lo,M_crit_n6,M_crit_hi
forward,eps_c = 1 x nuclear,0.00020793248753532263,280000000000000.03,8.453159344924842,10.867005957864494,18.315178580670494
forward,eps_c = 2 x nuclear,0.00041586497507064527,560000000000000.06,5.97728629524679,7.684133604000595,12.950786973034713
forward,eps_c = 4.7 x nuclear,0.0009772826914160163,1316000000000000.0,3.8991516510670876,5.012576066982911,8.448161910645355
forward,eps_c = 10 x nuclear,0.002079324875353226,2800000000000000.0,2.67312369542994,3.4364490173471562,5.791768006764871
forward,eps_c = 22 x nuclear,0.004574514725777098,6160000000000001.0,1.802219627806099,2.3168534548573962,3.9048091935798817
inverse,NS max ~2.3,0.004641800675961097,6250606649662282.0,2.3,2.3,2.3
inverse,GW190814 2.6,0.003632415026010976,4891377097146962.0,2.6,2.6,2.6
inverse,GW230529 ~3.6 (center),0.0018946856154193057,2551366448820483.5,3.6,3.6,3.6
inverse,gap top ~5.0,0.0009822050230333678,1322628367068538.5,5.000000000000001,5.0,5.0
