model,M,delta,failed,R,y_R,k2,Lambda,compactness_2M_R
M_over_ext=0.88,0.2035982537187057,0.001,False,0.5034584580768462,4.890925681171234,0.0010317711528421052,0.06359750610580528,0.8087986226169595
M_over_ext=0.88,0.2035982537187057,0.0001,False,0.5323701859061539,4.299976708488394,0.0013424661400583398,0.10939827335027891,0.7648747398284845
M_over_ext=0.88,0.2035982537187057,1e-05,False,0.555379676865419,3.9859079824236967,0.0015524802080372458,0.1563199786426452,0.7331858265603844
M_over_ext=0.95,0.21979356935542094,0.001,False,0.5164686354225935,5.51142632149239,0.000832266211968484,0.03974805275555081,0.8511400471611517
M_over_ext=0.95,0.21979356935542094,0.0001,False,0.5461274888595791,4.711382453213249,0.001166339903233808,0.07364260633626707,0.8049167047584177
M_over_ext=0.95,0.21979356935542094,1e-05,False,0.5697315821206089,4.303907850282041,0.0013989633069104227,0.10914192966246915,0.7715688448841929
M_over_ext=0.995,0.2302048436933093,0.001,False,0.5244979288471362,6.120124493263362,0.0006564343215349698,0.02686869802436401,0.8778103059407962
M_over_ext=0.995,0.2302048436933093,0.0001,False,0.55461787444064,5.072880373471106,0.0010042953252932202,0.054345952649721016,0.8301385667581753
M_over_ext=0.995,0.2302048436933093,1e-05,False,0.5785889293675183,4.567346490509194,0.0012533971201990255,0.08380612210489663,0.7957457601027956
M_over_ext=0.9999,0.23133851578787937,0.001,False,0.5253575042340707,6.207077569914857,0.0006349235608520185,0.025566139846405933,0.8806898689879855
M_over_ext=0.9999,0.23133851578787937,0.0001,False,0.5555268120127502,5.120501453737325,0.0009839753194094078,0.05238154993896764,0.8328617477515011
M_over_ext=0.9999,0.23133851578787937,1e-05,False,0.5795371519924012,4.600670804140345,0.001234910995370133,0.08122899591398967,0.7983561191635654
