tag,n,M,rc,f_min,n_horizons,r_minus,r_plus,kappa_minus,kappa_plus,kappa_at_fmin,r_fmin,K_center,K_max,r_photon,b_crit,b_crit_schw
below,6.0,0.2267344189140132,0.393817158304783,0.013378177510867006,0,,,,,1.2746034139054288,0.42176547276512244,1684.4124844525838,2038.04043191509,,,1.1781466001510301
ext,6.0,0.23136165195307468,0.396478165769528,-4.884981308350689e-14,2,0.42461532591112267,0.4248721889537304,-0.0025173396812321336,0.002515628911311296,1.2832158603859019,0.42461532592091383,1684.4124844525836,2038.040431915094,0.6940849558578758,1.2021904083173385,1.2021904083173776
above,6.0,0.23598888499213616,0.39910392550834595,-0.0132892794021926,2,0.4021432796038425,0.4548273685979797,-0.5311394035488584,0.4600399009424976,1.2917142263321673,0.42742742989926086,1684.4124844525836,2038.040431915091,0.7079666549762752,1.2262342164837212,1.226234216483725
